Dataset,Model,Accuracy,Precision,Recall,F1 Score,ROC AUC,Kappa,Specificity,True Churn,False Churn
Insurance,XGBoost,89.94,87.45,93.25,90.26,95.57,0.7988,86.63,5584,801
ISP,XGBoost,94.08,95.91,93.3,94.58,98.08,0.8806,95.05,7473,319
Telecom,XGBoost,95.05,82.98,82.11,82.54,92.28,0.7966,97.2,78,16
